"","V1"
"1","0.000000000000000000"
"2","0.002055921052631580"
"3","0.004111842105263160"
"4","0.006167763157894740"
"5","0.008223684210526321"
"6","0.010279605263157901"
"7","0.012335526315789500"
"8","0.014391447368421101"
"9","0.016447368421052599"
"10","0.018503289473684199"
"11","0.020559210526315801"
"12","0.022615131578947401"
"13","0.024671052631578899"
"14","0.026726973684210498"
"15","0.028782894736842101"
"16","0.030838815789473700"
"17","0.032894736842105303"
"18","0.034950657894736802"
"19","0.037006578947368397"
"20","0.039062500000000000"
"21","0.041118421052631603"
"22","0.043174342105263198"
"23","0.045230263157894697"
"24","0.047286184210526300"
"25","0.049342105263157902"
"26","0.051398026315789498"
"27","0.053453947368421101"
"28","0.055509868421052599"
"29","0.057565789473684202"
"30","0.059621710526315798"
"31","0.061677631578947401"
"32","0.063733552631578899"
"33","0.065789473684210495"
"34","0.067845394736842105"
"35","0.069901315789473700"
"36","0.071957236842105296"
"37","0.074013157894736795"
"38","0.076069078947368404"
"39","0.078125000000000000"
"40","0.080180921052631596"
"41","0.082236842105263094"
"42","0.084292763157894704"
"43","0.086348684210526300"
"44","0.088404605263157895"
"45","0.090460526315789505"
"46","0.092516447368421004"
"47","0.094572368421052599"
"48","0.096628289473684195"
"49","0.098684210526315805"
"50","0.100740131578946998"
"51","0.102796052631578996"
"52","0.104851973684210995"
"53","0.106907894736841994"
"54","0.108963815789474006"
"55","0.111019736842105005"
"56","0.113075657894737003"
"57","0.115131578947368002"
"58","0.117187500000000000"
"59","0.119243421052631998"
"60","0.121299342105262997"
"61","0.123355263157894995"
"62","0.125411184210525994"
"63","0.127467105263157993"
"64","0.129523026315788992"
"65","0.131578947368420990"
"66","0.133634868421052988"
"67","0.135690789473683987"
"68","0.137746710526316013"
"69","0.139802631578947012"
"70","0.141858552631579010"
"71","0.143914473684211008"
"72","0.145970394736842007"
"73","0.148026315789474006"
"74","0.150082236842105005"
"75","0.152138157894737003"
"76","0.154194078947368002"
"77","0.156250000000000000"
"78","0.158305921052631998"
"79","0.160361842105262997"
"80","0.162417763157894995"
"81","0.164473684210525994"
"82","0.166529605263157993"
"83","0.168585526315788992"
"84","0.170641447368420990"
"85","0.172697368421052988"
"86","0.174753289473683987"
"87","0.176809210526316013"
"88","0.178865131578947012"
"89","0.180921052631579010"
"90","0.182976973684211008"
"91","0.185032894736842007"
"92","0.187088815789474006"
"93","0.189144736842105005"
"94","0.191200657894737003"
"95","0.193256578947368002"
"96","0.195312500000000000"
"97","0.197368421052631998"
"98","0.199424342105262997"
"99","0.201480263157894995"
"100","0.203536184210525994"
"101","0.205592105263157993"
"102","0.207648026315788992"
"103","0.209703947368420990"
"104","0.211759868421052988"
"105","0.213815789473683987"
"106","0.215871710526316013"
"107","0.217927631578947012"
"108","0.219983552631579010"
"109","0.222039473684211008"
"110","0.224095394736842007"
"111","0.226151315789474006"
"112","0.228207236842105005"
"113","0.230263157894737003"
"114","0.232319078947368002"
"115","0.234375000000000000"
"116","0.236430921052631998"
"117","0.238486842105262997"
"118","0.240542763157894995"
"119","0.242598684210525994"
"120","0.244654605263157993"
"121","0.246710526315788992"
"122","0.248766447368420990"
"123","0.250822368421052988"
"124","0.252878289473684015"
"125","0.254934210526315985"
"126","0.256990131578947012"
"127","0.259046052631578982"
"128","0.261101973684211008"
"129","0.263157894736841980"
